date,day_of_year,month,actual_wh,direct_point_wh,direct_q10_wh,mc_mean_point_wh,mc_p10_point_wh,mc_p50_point_wh,mc_p90_point_wh,mc_mean_q10_wh,mc_p50_q10_wh,analog_unique_days
2021-08-12,224,8,98774.0,100675.1640625,78465.796875,80911.0648828125,47304.26953125,83857.9765625,107947.9375,53544.983848815915,48963.865234375,171
2021-08-13,225,8,93603.0,94934.765625,64584.953125,79435.51696484374,44406.48046875,81863.34375,108366.2265625,52344.97338394165,48944.796875,172
2021-08-14,226,8,92786.0,92538.7734375,57977.20703125,79846.12143164063,40129.63671875,84346.0703125,109279.6328125,53312.19228250122,50550.8046875,171
2021-08-15,227,8,59821.0,59481.2109375,30096.39453125,77465.52516113281,37043.29296875,81059.015625,108366.2265625,50754.63371746826,45526.8515625,172
2021-08-16,228,8,73554.0,76558.4765625,37428.015625,77960.07073242188,40016.55859375,81098.3359375,107689.546875,51077.54532141113,45566.19140625,171
2021-08-17,229,8,53428.0,45492.44921875,20072.423828125,77961.16698046876,44541.076171875,78964.4140625,108482.84375,50560.493252197266,45314.640625,172
2021-08-18,230,8,45288.0,46527.2109375,18682.26953125,76496.66312695312,35491.14453125,78663.140625,107947.9375,49552.80284283447,44743.3671875,170
2021-08-19,231,8,57315.0,49323.84765625,21044.236328125,76427.50604296874,35491.14453125,78859.71484375,108377.88828125001,49857.943951385496,45374.81640625,170
2021-08-20,232,8,38743.0,36277.8046875,16013.6826171875,75423.17327929687,30328.1328125,78755.015625,107947.9375,49402.27151092529,44743.3671875,172
2021-08-21,233,8,67817.0,72689.6796875,34333.85546875,75829.34470751953,35144.15625,80929.5234375,107947.9375,48878.791773590085,45374.81640625,171
2021-08-22,234,8,75578.0,71212.7734375,38330.3828125,76180.23806787109,35293.859375,79110.953125,107689.546875,49354.66541278076,44496.1875,172
2021-08-23,235,8,108841.0,95797.8359375,65324.14453125,72825.94675732421,26256.3125,76561.6640625,107567.57578125001,47121.302175445555,41387.3671875,172
2021-08-24,236,8,97304.0,95720.5,62629.30078125,73338.21061572265,29868.900390625,77482.796875,107715.3859375,47571.0168420105,42581.47265625,170
2021-08-25,237,8,53776.0,52699.53125,25975.138671875,74987.28889941407,32155.91015625,78261.3203125,106247.45546875003,48487.88240789795,41542.015625,172
2021-08-26,238,8,30087.0,37076.58203125,18594.03515625,74059.76264013672,30328.1328125,76812.6875,106102.28125,47655.535817657474,40982.1015625,172
2021-08-27,239,8,44216.0,43364.6015625,19513.923828125,73142.28573486328,30328.1328125,76352.921875,107689.546875,46596.21512976074,40982.1015625,171
2021-08-28,240,8,53046.0,57740.74609375,28112.224609375,74887.24956591797,31577.118750000005,78152.90625,107953.91640625,48220.303136871335,41387.3671875,172
2021-08-29,241,8,13239.0,17668.796875,8263.4453125,72860.35863378906,30979.669921875,76352.921875,105369.515625,45597.85099682617,40982.1015625,171
2021-08-30,242,8,24169.0,24767.412109375,10961.9208984375,72966.27408642578,29507.641601562522,76435.3046875,105828.30859375,46216.55347927856,40982.1015625,172
2021-08-31,243,8,46324.0,42825.16796875,19074.951171875,73318.93274121094,29507.641601562522,78489.2421875,106102.28125,46442.26370639038,41384.501953125,170
2021-09-01,244,9,96577.0,90447.7890625,56031.37890625,71847.10523242188,30234.63671875,75901.703125,105247.82578125001,44531.416083984375,40556.51953125,172
2021-09-02,245,9,103135.0,103573.1640625,80961.40625,72507.17851660156,30234.63671875,76770.40625,105247.82578125001,45479.58142578125,40556.51953125,172
2021-09-03,246,9,68429.0,78518.703125,43492.8671875,70971.37666552735,30327.259765625,74790.375,104568.296875,44117.65707275391,39602.1171875,172
2021-09-04,247,9,70740.0,60642.0,30661.4765625,72115.07560449219,30234.63671875,76352.921875,105433.125,45463.435274902346,40657.22265625,172
2021-09-05,248,9,93092.0,91347.5390625,53809.421875,69198.44983691406,30234.63671875,72960.546875,105234.3046875,42837.111111816404,37312.16796875,170
2021-09-06,249,9,93418.0,96421.296875,67331.4375,67118.01373095703,25642.763671875,71729.625,101684.73125000004,40816.63436132813,35957.8984375,171
2021-09-07,250,9,95381.0,90210.4296875,60921.80859375,67166.33807519531,24404.175976562503,71607.4921875,103347.921875,41247.62918310547,36487.5703125,172
2021-09-08,251,9,103340.0,103193.421875,86553.421875,67014.57554589843,25642.763671875,71729.625,103347.921875,41109.19022265625,35757.6796875,172
2021-09-09,252,9,105032.0,105296.9140625,94915.71875,67329.235015625,24432.4453125,72960.546875,102988.40625,41487.73589453125,38060.4609375,172
2021-09-10,253,9,94852.0,96744.796875,71422.984375,66274.98848681641,25642.763671875,71087.7890625,98833.546875,39678.09056518555,35361.22265625,172
2021-09-11,254,9,67899.0,72731.2734375,35090.55078125,64449.15357128906,23879.921875000015,70508.13671875,100063.453125,38472.416256591794,34706.9765625,170
2021-09-12,255,9,36032.0,40051.0390625,17656.8828125,61736.91515087891,20045.9296875,66557.0546875,98665.84375,37089.643805419924,32660.29296875,167
2021-09-13,256,9,28901.0,34303.1171875,15983.923828125,61966.38326513672,20606.353515625,66409.4375,98682.6140625,36967.66664746094,32108.947265625,172
2021-09-14,257,9,31570.0,30195.041015625,16505.830078125,63025.18713769531,20537.697265625,67220.625,98665.84375,38309.96471362305,34366.3515625,170
2021-09-15,258,9,31626.0,39363.70703125,16178.6640625,61573.71162402344,20606.353515625,66557.0546875,97887.7421875,36559.54152697754,32691.1865234375,172
2021-09-16,259,9,33721.0,41968.04296875,14170.66796875,59561.03644091797,18620.791015625,65065.98046875,97481.9765625,34863.46896435547,31746.25390625,172
2021-09-17,260,9,19342.0,26573.173828125,9009.7255859375,58097.415094238284,18759.3154296875,62005.48046875,96828.5078125,33564.99875805664,28547.181640625,172
