year_month,year,month,dominant_segment,train_rows,validation_rows,test_rows,metric_rows,mape,r2,rmse_wh,mae_wh,bias_wh,nrmse_observed_capacity_pct,actual_mean_wh,actual_p10_wh,actual_p50_wh,actual_p90_wh,prediction_mean_wh,clouds_all_mean,solar_elevation_mean_deg,ghi_roll_std_3h_mean
2017-11,2017,11,train,911,0,0,911,36.439965213985396,0.9147557032829601,253.82264858439825,144.80729530697727,-12.596059976895999,5.056228059450165,606.8419319429198,35.0,202.0,2138.0,594.2458719660239,78.78594950603733,12.090292936050314,8.071752831132788
2017-12,2017,12,train,801,0,0,801,36.52758066111127,0.8535265295002482,226.1187970693176,119.82030015216488,-8.790007107787662,4.504358507356924,367.5593008739076,27.0,148.0,1046.0,358.76929376612,81.42446941323345,9.131338993425548,6.600371634569145
2018-01,2018,1,train,833,0,0,833,35.3535689588006,0.8821678652710983,221.9040888879334,123.41480512707746,-2.623442222662762,4.420400177050466,448.0216086434574,41.0,215.0,1147.2000000000037,445.3981664207946,80.52460984393757,10.901125213705035,6.55856458424545
2018-02,2018,2,train,1027,0,0,1027,30.28430335848927,0.9435029001942047,301.3716367962629,200.86880356682775,0.4991350032338381,6.003419059686512,1282.823758519961,79.0,763.0,3532.6,1283.3228935231948,65.16260954235638,15.433355025067964,12.861183706314556
2018-03,2018,3,train,1380,0,0,1380,25.886185052235806,0.9714721794699964,234.57733875199528,153.28433822462523,-3.417314114259637,4.672855353625404,1308.5565217391304,76.9,652.5,3758.600000000002,1305.1392076248708,72.54492753623188,22.23943293469348,16.24901412787079
2018-04,2018,4,train,1606,0,0,1606,20.28986424881095,0.9638094028756592,276.0570423560784,166.94298094845055,-22.184160396586616,5.499144270041403,1658.3879202988792,97.5,1191.5,3892.0,1636.2037599022926,50.48505603985056,28.153177163154954,20.461198740014694
2018-05,2018,5,train,1889,0,0,1889,14.357769503494087,0.9780435274721109,218.78813664908722,129.21331088889397,0.30191875012101416,4.358329415320463,1747.4970884065642,99.80000000000001,1417.0,3905.6000000000004,1747.7990071566853,37.596082583377445,32.29698416462445,23.703406478850063
2018-06,2018,6,train,1961,0,0,1961,17.437464443482646,0.9569673237166147,265.22378237401927,159.82147815517894,-6.989340873591864,5.283342278366917,1382.3273839877613,87.0,913.0,3551.0,1375.3380431141695,51.400815910249875,33.695852781823916,23.509213421085448
2018-07,2018,7,train,1951,0,0,1951,17.557865215465554,0.9470291358381155,281.40138471017644,168.0669621643288,-7.928781571891111,5.605605273111085,1322.8170169144028,84.0,879.0,3350.0,1314.8882353425117,45.70425422860072,33.15416729420899,21.18060700803906
2018-08,2018,8,train,1745,0,0,1745,19.786862623275695,0.9510038153155943,288.9721121480758,182.81245099794558,-11.592976024840828,5.756416576654896,1538.7272206303726,106.80000000000001,1212.0,3578.000000000001,1527.1342446055316,48.62120343839541,29.978194401895433,20.814122025113353
2018-09,2018,9,train,1446,0,0,1446,27.23296139571722,0.9185319045349816,349.51632682055947,230.83113912543485,-4.391986319138302,6.962476629891623,1427.4308437067773,100.0,1123.5,3382.0,1423.038857387639,63.70331950207469,24.49109410765684,18.35095703709061
2018-10,2018,10,train,1197,0,0,1197,33.00338052373707,0.9290381662220841,246.89092254071298,156.6030076472283,36.5285822757603,4.91814586734488,1007.4736842105264,56.60000000000001,728.0,2518.2000000000003,1044.0022664862865,55.278195488721806,17.98390519456925,13.63271246311472
2018-11,2018,11,train,906,0,0,906,30.854398880256557,0.9179769028177475,170.81189510862558,98.917520651491,30.989917421446204,3.4026273926021036,440.5971302428256,29.0,139.0,1514.0,471.58704766427184,73.46136865342163,12.23126743637756,8.893745497178381
2018-12,2018,12,train,769,0,0,769,38.941238070884424,0.7443134048772757,195.13128425094442,86.69168740131146,23.31323107476352,3.887077375516821,211.14304291287385,22.80000000000001,89.0,469.0,234.4562739876374,85.98699609882965,9.346238126361342,6.065949720373799
2019-01,2019,1,train,841,0,0,841,38.716598222700306,0.8821221495315656,245.07353188524152,129.86060133700423,-3.2248942268022316,4.881942866239871,414.8382877526754,28.0,159.0,1111.0,411.61339352587316,79.20570749108205,10.78888193596287,7.633231105013108
2019-02,2019,2,train,1009,0,0,1009,36.97953249727259,0.951869264169601,261.39813447048607,165.16641613135135,8.730827607059384,5.2071341527985275,948.3171456888008,59.0,374.0,3142.2000000000003,957.0479732958602,64.94251734390485,15.650340071691073,12.102927404752384
2019-03,2019,3,train,1377,0,0,1377,40.89932040711401,0.8558446985268131,363.4691459416229,231.92658642382403,2.4420498909946793,7.240421233896871,858.242556281772,69.6,494.0,2281.4000000000005,860.6846061727666,81.70806100217865,22.22907488582283,14.990265152377328
