simulation,annual_point_wh,annual_q10_wh,annual_point_kwh,annual_q10_kwh
405,19387511.294311523,12486171.308135986,19387.511294311524,12486.171308135987
406,20097607.266296387,12632083.816047668,20097.607266296385,12632.083816047669
407,19434483.809936523,12255484.901855469,19434.483809936522,12255.484901855469
408,20178803.5982666,12906046.143119812,20178.8035982666,12906.046143119813
409,20173870.123046875,13012249.484466553,20173.870123046876,13012.249484466553
410,19010048.928344727,11731222.810155153,19010.048928344728,11731.222810155154
411,20304572.802001953,12802022.824989319,20304.572802001952,12802.022824989319
412,19076896.060668945,11927490.411900759,19076.896060668947,11927.490411900759
413,20494748.239013672,13052490.282424927,20494.748239013672,13052.490282424927
414,19377330.92626953,12466370.839813232,19377.330926269533,12466.370839813233
415,18792546.463256836,11750985.740623474,18792.546463256836,11750.985740623473
416,19627069.494384766,12614074.909584045,19627.069494384767,12614.074909584046
417,20538401.439819336,13335221.704388857,20538.401439819336,13335.221704388858
418,19716103.11303711,12431974.232070923,19716.10311303711,12431.974232070923
419,19603306.618041992,12479954.256271362,19603.306618041992,12479.954256271363
420,19601053.090942383,12578297.57844162,19601.053090942383,12578.29757844162
421,18739752.662353516,11907497.169629335,18739.752662353516,11907.497169629336
422,19400820.829223633,12004419.77126813,19400.820829223634,12004.419771268129
423,19274048.30090332,12080361.03965497,19274.04830090332,12080.36103965497
424,19164066.229125977,12216245.397964478,19164.066229125976,12216.245397964478
425,19614888.44555664,12573219.976665497,19614.88844555664,12573.219976665498
426,19251902.787597656,12332563.619171143,19251.902787597657,12332.563619171142
427,19544500.427856445,12472655.548931122,19544.500427856445,12472.655548931121
428,18229345.118286133,11024250.566144228,18229.34511828613,11024.250566144228
429,19396241.346557617,12122899.601470947,19396.241346557617,12122.899601470946
430,19144767.173828125,11920085.871276855,19144.767173828124,11920.085871276855
431,20066703.43737793,12600581.65819931,20066.703437377928,12600.58165819931
432,20217848.822021484,13195852.464309692,20217.848822021486,13195.852464309692
433,18423349.916625977,11528364.503417969,18423.349916625975,11528.364503417968
434,18753780.69293213,11956776.665512085,18753.78069293213,11956.776665512085
435,19876335.2532959,12681976.005508423,19876.3352532959,12681.976005508423
436,19227301.620239258,12250633.540405273,19227.301620239257,12250.633540405273
437,18622086.46032715,11627537.322219849,18622.086460327148,11627.537322219849
438,19335109.238464355,12107120.730366945,19335.109238464356,12107.120730366945
439,19587555.655029297,12351718.821304321,19587.555655029297,12351.718821304321
440,20151546.03479004,12993029.55929184,20151.54603479004,12993.02955929184
441,20402901.162597656,13478782.87262845,20402.901162597656,13478.78287262845
442,19502839.026000977,12327749.837036133,19502.839026000976,12327.749837036134
443,20075028.649536133,12929497.202888489,20075.028649536132,12929.49720288849
444,19397729.14868164,12063027.869346619,19397.72914868164,12063.027869346619
445,19700506.59362793,12537644.107543945,19700.506593627928,12537.644107543945
446,19267240.844848633,12013020.916168213,19267.24084484863,12013.020916168212
447,19566171.235961914,12150469.833694458,19566.171235961912,12150.469833694458
448,18968680.86151123,11842741.42011261,18968.68086151123,11842.74142011261
449,19836228.89013672,12584908.546173096,19836.228890136717,12584.908546173096
450,19407065.79949951,12048103.17742157,19407.065799499513,12048.10317742157
451,19240316.630615234,12253845.437595367,19240.316630615234,12253.845437595368
452,19761802.330200195,12437795.049995422,19761.802330200197,12437.795049995422
453,20445361.9888916,13190657.056648254,20445.3619888916,13190.657056648255
454,18330732.743286133,11641270.367329836,18330.73274328613,11641.270367329837
455,19889845.141723633,12802705.553714752,19889.845141723632,12802.705553714752
456,19455424.79119873,12628313.700280428,19455.42479119873,12628.313700280429
457,19754852.685058594,12571799.268203735,19754.852685058595,12571.799268203735
458,19520724.067749023,12489420.686157227,19520.724067749023,12489.420686157227
459,19340893.099487305,12215212.327789307,19340.893099487304,12215.212327789306
460,20209694.017333984,12880628.5783844,20209.694017333983,12880.6285783844
461,20210758.008117676,13062040.556678772,20210.758008117675,13062.040556678772
462,20538155.373779297,13265116.146240234,20538.155373779296,13265.116146240234
463,19838942.2779541,12563292.87241745,19838.942277954102,12563.29287241745
464,19331601.37561035,12072848.842617035,19331.601375610353,12072.848842617035
465,18961284.21057129,11781876.497245789,18961.284210571288,11781.876497245788
466,19463754.731445312,12295228.585342407,19463.75473144531,12295.228585342407
467,19547324.944335938,12540901.946414948,19547.32494433594,12540.901946414948
468,18553328.713989258,11089143.927211761,18553.328713989256,11089.143927211762
469,18596899.03643799,11581035.205001831,18596.89903643799,11581.035205001832
470,19816425.524291992,12299293.16000104,19816.425524291993,12299.29316000104
471,19672425.709594727,12568647.62701416,19672.425709594725,12568.64762701416
472,18822143.66040039,11554233.773507357,18822.14366040039,11554.233773507356
473,19358808.063354492,12288503.79360199,19358.808063354492,12288.503793601989
474,19377988.03552246,12207739.60606122,19377.98803552246,12207.739606061221
475,20060443.26940918,12758283.485023499,20060.44326940918,12758.283485023498
476,19731584.899902344,12729516.824890137,19731.584899902344,12729.516824890137
477,19911122.086914062,12597672.69355011,19911.122086914063,12597.67269355011
478,19375498.994262695,12336509.532745361,19375.498994262696,12336.509532745362
479,18601579.21887207,11489837.780334473,18601.57921887207,11489.837780334472
480,19379613.661376953,12289899.876580477,19379.613661376952,12289.899876580477
481,19346719.449951172,12024641.075210571,19346.71944995117,12024.641075210571
482,19802176.92919922,12585060.746429443,19802.17692919922,12585.060746429443
483,20102445.06604004,12882030.32883954,20102.44506604004,12882.03032883954
484,19439465.953979492,12329693.712615967,19439.465953979492,12329.693712615966
485,19325425.95251465,11916773.254277468,19325.425952514648,11916.773254277468
486,20052992.009033203,12895387.346448183,20052.9920090332,12895.387346448184
487,19659741.29333496,12725303.109664917,19659.741293334962,12725.303109664917
488,19617982.96734619,12512051.901741028,19617.98296734619,12512.051901741028
489,19001401.579956055,11928587.8308537,19001.401579956055,11928.587830853701
490,19608779.583862305,12501731.426208496,19608.779583862306,12501.731426208496
491,18659329.051574707,11459294.386390686,18659.329051574707,11459.294386390686
492,19272951.220458984,11974911.602172852,19272.951220458985,11974.911602172851
493,18420341.483276367,11578975.476776123,18420.341483276366,11578.975476776122
494,19232267.86279297,12053447.296310425,19232.267862792967,12053.447296310425
495,19278618.907470703,12216673.34274292,19278.618907470704,12216.67334274292
496,19647467.920776367,12123344.849744081,19647.467920776366,12123.344849744082
497,19907106.624023438,12857716.79071045,19907.106624023436,12857.716790710449
498,19029698.697998047,12130152.856658936,19029.698697998047,12130.152856658935
499,19153981.049926758,12168530.389781952,19153.98104992676,12168.530389781952
500,18857931.314331055,11773675.525543213,18857.931314331054,11773.675525543213
501,19904416.841186523,12448593.381034851,19904.416841186525,12448.59338103485
502,18717116.17907715,11372323.208523989,18717.116179077148,11372.323208523989
503,19445093.075561523,12219213.558842897,19445.093075561523,12219.213558842897
504,19440875.719970703,12455194.583213806,19440.875719970703,12455.194583213806
505,19253519.865600586,11794778.299446106,19253.519865600585,11794.778299446107
506,19814777.19470215,12524523.961055756,19814.77719470215,12524.523961055756
507,20333049.772583008,12976013.284412384,20333.049772583006,12976.013284412384
508,20370085.03100586,12971015.24892807,20370.08503100586,12971.01524892807
509,19244538.50732422,12033701.94606781,19244.538507324218,12033.70194606781
510,20413621.401367188,13054166.865814209,20413.62140136719,13054.16686581421
511,19215917.501586914,12066633.6696167,19215.917501586915,12066.6336696167
512,19885056.368408203,12595706.35899353,19885.056368408204,12595.70635899353
513,20241808.151245117,12937503.493347168,20241.808151245117,12937.503493347169
514,19891626.996948242,12421850.944606781,19891.626996948242,12421.85094460678
515,19612756.261535645,12716076.607879639,19612.756261535644,12716.076607879639
516,19598755.986694336,12554906.586215973,19598.755986694337,12554.906586215973
517,19651812.460754395,12481314.26685071,19651.812460754394,12481.31426685071
518,19575943.39831543,12644700.14302063,19575.94339831543,12644.70014302063
519,19278903.94494629,12474919.898712158,19278.90394494629,12474.919898712158
520,18531121.32373047,11740349.45111084,18531.12132373047,11740.34945111084
521,18370020.95965576,11567747.864250183,18370.02095965576,11567.747864250183
522,18979071.823120117,11749429.098332644,18979.071823120117,11749.429098332643
523,19498935.639892578,12663375.82069397,19498.935639892577,12663.37582069397
524,19636911.802612305,12451088.931744814,19636.911802612303,12451.088931744815
525,18995667.82373047,12189863.978298187,18995.66782373047,12189.863978298188
526,19061511.28076172,11843786.333953857,19061.51128076172,11843.786333953858
527,19929712.819213867,12859679.621109009,19929.712819213866,12859.67962110901
528,18644529.229614258,11625972.016204834,18644.529229614258,11625.972016204834
529,19437979.06439209,12455052.71800232,19437.97906439209,12455.05271800232
530,18822086.227416992,12093267.059265137,18822.086227416992,12093.267059265138
531,19483522.362182617,12216458.659398317,19483.52236218262,12216.458659398317
532,18387299.794555664,11390635.608383179,18387.299794555664,11390.635608383178
533,19373383.018676758,12395574.645352602,19373.38301867676,12395.574645352603
534,18506409.77319336,11323539.69556427,18506.409773193358,11323.53969556427
535,19113728.335205078,12277062.34109497,19113.72833520508,12277.06234109497
536,19873585.70324707,12729909.168361664,19873.58570324707,12729.909168361664
537,19112311.41821289,12028162.686477661,19112.311418212892,12028.16268647766
538,19082624.348999023,12101639.466918945,19082.624348999023,12101.639466918945
539,20248013.979614258,13107914.969696045,20248.013979614258,13107.914969696045
540,20272727.0982666,12984100.719192505,20272.7270982666,12984.100719192505
541,20198683.19885254,12786782.053349733,20198.683198852537,12786.782053349732
542,20034027.915893555,12731457.182216644,20034.027915893555,12731.457182216644
543,18887765.809936523,11550317.407928467,18887.76580993652,11550.317407928467
544,18915434.39099121,12105810.25479126,18915.43439099121,12105.81025479126
545,19544385.258544922,12104389.091472626,19544.38525854492,12104.389091472625
546,18455679.961242676,11496651.585235596,18455.679961242677,11496.651585235595
547,19170832.48034668,11974153.15248108,19170.83248034668,11974.15315248108
548,19548098.532592773,12442898.631408691,19548.098532592772,12442.89863140869
549,18808161.588500977,11817824.43645978,18808.161588500978,11817.82443645978
550,20044220.388305664,12783733.17612958,20044.220388305665,12783.733176129579
551,18592588.019592285,11280664.11333847,18592.588019592284,11280.664113338471
552,19608054.52294922,12492166.902484894,19608.05452294922,12492.166902484894
553,19721821.275634766,12751414.292671204,19721.821275634764,12751.414292671203
554,19677096.630004883,12328563.868679047,19677.096630004882,12328.563868679046
555,18609093.613220215,11443624.706729889,18609.093613220215,11443.624706729888
556,19482474.010742188,12145432.751693726,19482.474010742186,12145.432751693726
557,18794479.376708984,11605975.102111816,18794.479376708983,11605.975102111817
558,19397028.414916992,12216275.087303162,19397.028414916993,12216.275087303162
559,19678394.85168457,12577556.247924805,19678.39485168457,12577.556247924806
560,20017633.034301758,12628286.628189087,20017.633034301758,12628.286628189087
561,19517351.134521484,12049888.405059814,19517.351134521483,12049.888405059815
562,19882068.923217773,12812297.003570557,19882.068923217772,12812.297003570557
563,19872698.122192383,12733484.020263672,19872.69812219238,12733.484020263671
564,20498175.78076172,13035836.27067566,20498.175780761718,13035.83627067566
565,19534135.853149414,12377976.083702087,19534.135853149415,12377.976083702088
566,19793652.988586426,12595975.650993347,19793.652988586426,12595.975650993347
567,19391901.600097656,12302402.377471924,19391.901600097655,12302.402377471924
568,20053299.885009766,12769140.323379517,20053.299885009765,12769.140323379517
569,19095651.413085938,11882005.848098755,19095.651413085936,11882.005848098755
570,18966152.019104004,11853878.197029114,18966.152019104004,11853.878197029113
571,20497711.684814453,12836164.281827211,20497.711684814454,12836.164281827212
572,20387712.442626953,13093004.580395937,20387.712442626955,13093.004580395937
573,20200568.861938477,13105914.959838867,20200.56886193848,13105.914959838867
574,19213378.333007812,11944437.895778656,19213.37833300781,11944.437895778656
575,19205346.207214355,12257801.03224945,19205.346207214356,12257.80103224945
576,20011196.296142578,12525989.062451601,20011.196296142578,12525.989062451601
577,20050618.91003418,12742091.443252563,20050.61891003418,12742.091443252564
578,20322912.459472656,12944887.084907532,20322.912459472656,12944.887084907532
579,20161938.98864746,12838356.064796448,20161.93898864746,12838.356064796448
580,18826918.141601562,11984061.665367126,18826.918141601564,11984.061665367126
581,19644613.891723633,12430820.84748578,19644.61389172363,12430.82084748578
582,20384233.36328125,13192516.211380005,20384.23336328125,13192.516211380005
583,19193656.118041992,12111044.161392212,19193.656118041992,12111.044161392212
584,19242417.432495117,12070106.873413086,19242.417432495116,12070.106873413086
585,19978087.410705566,12551794.074619293,19978.087410705568,12551.794074619293
586,19961364.537841797,13024922.553563356,19961.364537841797,13024.922553563356
587,18582784.813659668,11513068.292488098,18582.78481365967,11513.068292488098
588,18423268.048339844,11268181.352600098,18423.268048339844,11268.181352600097
589,19789567.076782227,12790771.79271698,19789.567076782227,12790.77179271698
590,19553457.58642578,12430795.208953857,19553.457586425782,12430.795208953858
591,20261348.095214844,13011960.367305756,20261.348095214842,13011.960367305755
592,18918898.270874023,12114931.8358078,18918.898270874022,12114.9318358078
593,20675098.654052734,13696045.756500244,20675.098654052734,13696.045756500243
594,19762146.697631836,12490968.935714722,19762.146697631837,12490.968935714722
595,19670541.51763916,12959385.345199585,19670.54151763916,12959.385345199586
596,18890674.734924316,11557662.451461792,18890.674734924316,11557.662451461792
597,19435519.194213867,12394599.860107422,19435.519194213866,12394.599860107423
598,19330388.927612305,12190707.937526703,19330.388927612305,12190.707937526702
599,18944828.595703125,11725085.108703613,18944.828595703126,11725.085108703614
600,19269019.655151367,12270611.257354736,19269.019655151365,12270.611257354736
601,19272381.243041992,11724998.124783754,19272.381243041993,11724.998124783755
602,18214517.468017578,11365887.492237091,18214.517468017577,11365.88749223709
603,19505233.383544922,12489539.833039522,19505.23338354492,12489.539833039522
604,19854528.16156006,12554803.76732111,19854.528161560058,12554.80376732111
605,19136828.198242188,12153336.756958008,19136.828198242187,12153.336756958008
606,19292493.4475708,12091127.367347717,19292.4934475708,12091.127367347717
607,20126277.921142578,12939291.96439743,20126.277921142577,12939.291964397431
608,19915220.386047363,12544338.287953615,19915.220386047364,12544.338287953615
609,18786923.466308594,11883490.446914673,18786.923466308595,11883.490446914673
610,19908124.990600586,12269729.255371094,19908.124990600587,12269.729255371094
611,18791516.53479004,11601336.609181643,18791.51653479004,11601.336609181642
612,19374233.255493164,11878590.079597473,19374.233255493164,11878.590079597474
613,19873668.91784668,12709885.045066833,19873.66891784668,12709.885045066834
614,20216094.899291992,12871497.06262207,20216.09489929199,12871.497062622071
615,20106340.23461914,12784559.20401764,20106.34023461914,12784.55920401764
616,19135034.770080566,11585044.59141922,19135.034770080565,11585.04459141922
617,18832706.18786621,11914744.367752075,18832.70618786621,11914.744367752075
618,18961814.350097656,11962158.074798584,18961.814350097655,11962.158074798584
619,19623850.965942383,12432282.190734863,19623.850965942383,12432.282190734863
620,19122249.024902344,11999273.290153503,19122.249024902343,11999.273290153504
621,19323145.03515625,11948072.162231445,19323.14503515625,11948.072162231445
622,18718969.41381836,11669274.133270264,18718.96941381836,11669.274133270264
623,19131130.847473145,12003275.95129776,19131.130847473145,12003.275951297761
624,19763988.204101562,12649751.511779785,19763.988204101563,12649.751511779785
625,18748692.658935547,11605615.744132996,18748.692658935546,11605.615744132996
626,19270248.097106934,12060573.256168365,19270.248097106934,12060.573256168365
627,19329997.568847656,12159254.697987795,19329.997568847655,12159.254697987795
628,18889721.83380127,11605463.720497131,18889.721833801268,11605.463720497131
629,19618639.286499023,12479510.798339844,19618.639286499023,12479.510798339843
630,19261706.333862305,11983591.161987305,19261.706333862305,11983.591161987304
631,19803079.690979004,12442897.265767336,19803.079690979004,12442.897265767337
632,19647345.594604492,12664658.23664856,19647.345594604492,12664.65823664856
633,18926733.252441406,11788579.857391357,18926.733252441405,11788.579857391358
634,19100501.2388916,11965279.804321289,19100.5012388916,11965.27980432129
635,18867400.584106445,11856189.362052917,18867.400584106446,11856.189362052917
636,19036815.82373047,11866335.879544497,19036.815823730467,11866.335879544496
637,19506552.982788086,12124000.85049057,19506.552982788086,12124.00085049057
638,19109674.70654297,11852247.73814392,19109.67470654297,11852.24773814392
639,20463195.7611084,13281466.25378418,20463.1957611084,13281.46625378418
640,19511397.66760254,12120927.752532959,19511.397667602538,12120.92775253296
641,19288632.127685547,12115719.555374146,19288.632127685545,12115.719555374146
642,19576099.142822266,12570504.435643435,19576.099142822266,12570.504435643434
643,20326681.123046875,13167953.99281311,20326.681123046874,13167.95399281311
644,19726704.43359375,12380829.393035889,19726.70443359375,12380.829393035889
645,20793573.303100586,13426478.922276735,20793.573303100588,13426.478922276736
646,19349075.388671875,11925358.02653122,19349.075388671874,11925.35802653122
647,20299309.653076172,12927941.917861938,20299.309653076172,12927.94191786194
648,19634976.20288086,12374630.355674744,19634.97620288086,12374.630355674744
649,20356247.59399414,13322027.89933014,20356.24759399414,13322.02789933014
650,19071864.793701172,12204135.869934082,19071.86479370117,12204.135869934082
651,19063321.577026367,11976586.46420288,19063.321577026367,11976.586464202881
652,19588182.247924805,12263986.003540039,19588.182247924804,12263.98600354004
653,19601819.336120605,12411996.242729187,19601.819336120607,12411.996242729187
654,18412246.307250977,11262262.30947876,18412.246307250978,11262.26230947876
655,20115792.442504883,13149901.919265747,20115.792442504884,13149.901919265747
656,19604040.430908203,12173027.75869751,19604.040430908204,12173.02775869751
657,19865662.497314453,12674810.037330627,19865.662497314454,12674.810037330628
658,18654120.428222656,11681247.367645264,18654.120428222657,11681.247367645263
659,19305060.04675293,12299248.375840425,19305.06004675293,12299.248375840425
660,19864947.020751953,12752043.42885971,19864.94702075195,12752.04342885971
661,19653186.397338867,12702116.166442871,19653.186397338868,12702.116166442871
662,19595449.459594727,12507604.107131958,19595.449459594725,12507.604107131958
663,18919367.18408203,12002871.8667984,18919.36718408203,12002.871866798401
664,18175321.902282715,11119821.125099182,18175.321902282714,11119.821125099183
665,19304386.31665039,12314689.63696289,19304.38631665039,12314.68963696289
666,19277323.863830566,12328195.530143738,19277.323863830567,12328.195530143737
667,19001054.79071045,11840332.557289124,19001.05479071045,11840.332557289123
668,18852728.20275879,11762207.13218689,18852.72820275879,11762.20713218689
669,19292999.275512695,12342434.697937012,19292.999275512695,12342.434697937011
670,19044674.251037598,11906049.544136047,19044.6742510376,11906.049544136047
671,18535689.827270508,11465202.779907227,18535.689827270508,11465.202779907226
672,19854086.026367188,12449103.101875305,19854.086026367186,12449.103101875306
673,20219510.137451172,13065506.535369873,20219.510137451172,13065.506535369874
674,19636071.318847656,12357087.589172363,19636.071318847655,12357.087589172363
675,19022648.033447266,11874623.698410034,19022.648033447265,11874.623698410034
676,19011662.475097656,12065294.89389038,19011.662475097655,12065.294893890381
677,18808618.11291504,11837000.38822937,18808.61811291504,11837.00038822937
678,19610835.396362305,12290346.43548584,19610.835396362305,12290.34643548584
679,19918944.224609375,12463348.324951172,19918.944224609375,12463.348324951172
680,20221071.00048828,12931354.261871338,20221.071000488282,12931.354261871338
681,19677882.19470215,12461646.575424194,19677.88219470215,12461.646575424194
682,19126284.04260254,11867329.159680605,19126.28404260254,11867.329159680605
683,18654215.123901367,11396231.234992981,18654.215123901366,11396.231234992982
684,19104388.231445312,11931064.685783386,19104.38823144531,11931.064685783385
685,19612462.655151367,12513468.86593628,19612.46265515137,12513.46886593628
686,18791758.458618164,11887890.383872986,18791.758458618166,11887.890383872986
687,19243885.481445312,12149191.623954773,19243.88548144531,12149.191623954774
688,19910310.848754883,12643428.555213928,19910.31084875488,12643.428555213928
689,19280608.381958008,12222784.407287598,19280.60838195801,12222.784407287598
690,18599195.575927734,11562665.422836304,18599.195575927733,11562.665422836304
691,19559086.661499023,12450587.551177979,19559.086661499023,12450.587551177978
692,19526581.357666016,12316893.018966675,19526.581357666015,12316.893018966675
693,19459780.58013916,12090099.928028107,19459.78058013916,12090.099928028107
694,19975049.75415039,12547801.893249512,19975.04975415039,12547.801893249512
695,19665178.146240234,12176102.993526459,19665.178146240236,12176.10299352646
696,19983869.738342285,12561298.69380951,19983.869738342284,12561.29869380951
697,19285949.615722656,11968980.950393677,19285.949615722657,11968.980950393678
698,19774708.12866211,12535252.957107544,19774.70812866211,12535.252957107545
699,19736504.47998047,12850202.957481384,19736.504479980467,12850.202957481384
700,19873355.6829834,12584164.379470825,19873.355682983398,12584.164379470825
701,19535032.52746582,12355073.596317291,19535.03252746582,12355.073596317292
702,18738547.666259766,11816292.838985443,18738.547666259765,11816.292838985442
703,19074196.837646484,11944845.25614667,19074.196837646483,11944.84525614667
704,20410143.77685547,13103819.923591614,20410.143776855468,13103.819923591614
705,18669639.69470215,11629934.009106874,18669.63969470215,11629.934009106875
706,19012392.265075684,12073277.045224428,19012.392265075683,12073.277045224428
707,19658391.524108887,12459942.636634827,19658.391524108887,12459.942636634827
708,19379791.494506836,12213970.922635317,19379.791494506837,12213.970922635317
709,19774751.17126465,12698227.143745422,19774.75117126465,12698.227143745422
710,18972468.770874023,11754101.24691391,18972.468770874024,11754.10124691391
711,19000301.108520508,11814111.057357788,19000.301108520507,11814.111057357788
712,20250460.295410156,13022292.22566986,20250.460295410157,13022.29222566986
713,19640612.973510742,12790140.284873962,19640.612973510742,12790.140284873962
714,20097366.340576172,12831738.496398926,20097.366340576173,12831.738496398926
715,19787937.867858887,12615102.845127106,19787.937867858887,12615.102845127105
716,19243061.282958984,11932530.269180298,19243.061282958985,11932.530269180297
717,19447784.193481445,12236454.9586792,19447.784193481446,12236.4549586792
718,19307054.59814453,12334792.834655762,19307.054598144532,12334.792834655762
719,19337209.649658203,11896336.408203125,19337.2096496582,11896.336408203126
720,19346528.772705078,12286097.519856691,19346.528772705078,12286.097519856692
721,19465838.227416992,12271168.511123657,19465.838227416993,12271.168511123657
722,20032810.990234375,12813516.201244354,20032.810990234375,12813.516201244354
723,19404256.31048584,11979955.708747864,19404.25631048584,11979.955708747864
724,19185262.701293945,12091664.773968935,19185.262701293945,12091.664773968934
725,19781608.89416504,12491128.66998291,19781.608894165038,12491.12866998291
726,20160083.09399414,12775208.814076662,20160.08309399414,12775.208814076663
727,19023958.50213623,12129780.07837677,19023.95850213623,12129.78007837677
728,19784059.844848633,12617266.176490784,19784.059844848634,12617.266176490784
729,20058967.11303711,12916102.13293457,20058.96711303711,12916.10213293457
730,19503697.844848633,12331470.340667725,19503.697844848633,12331.470340667725
731,20225966.42138672,12772042.407284975,20225.966421386718,12772.042407284975
732,20772435.514160156,13468796.217071533,20772.435514160155,13468.796217071533
733,19458368.081115723,11932825.703662872,19458.36808111572,11932.825703662873
734,20876315.989746094,13360198.801940918,20876.315989746094,13360.198801940918
735,19512766.604614258,12357259.666152954,19512.76660461426,12357.259666152953
736,19463303.452026367,12365743.36907959,19463.303452026368,12365.74336907959
737,20745595.384521484,13117583.715389252,20745.595384521483,13117.583715389252
738,19390353.730041504,12217652.529792786,19390.353730041505,12217.652529792786
739,18819837.822509766,11380747.73147583,18819.837822509766,11380.74773147583
740,19821961.184570312,12477698.772636414,19821.96118457031,12477.698772636413
741,20452926.30718994,13169966.264778137,20452.92630718994,13169.966264778137
742,19671531.14416504,12461109.036786318,19671.531144165037,12461.109036786318
743,19344275.95574951,12465474.754459381,19344.275955749512,12465.474754459381
744,19479403.896728516,12533072.609344482,19479.403896728516,12533.072609344483
745,18727407.643676758,11985098.946731567,18727.407643676757,11985.098946731567
746,19699509.107543945,12457003.26871109,19699.509107543945,12457.00326871109
747,19665582.16241455,12639569.548820496,19665.58216241455,12639.569548820496
748,19341269.138793945,12153096.749158144,19341.269138793945,12153.096749158143
749,19374791.875732422,12238597.010742188,19374.791875732422,12238.597010742187
750,18927879.267456055,11896229.93359375,18927.879267456054,11896.22993359375
751,19597763.260864258,12102629.747737885,19597.763260864256,12102.629747737885
752,19478517.613952637,12295791.436882019,19478.517613952637,12295.791436882018
753,19019672.568359375,11769480.401885986,19019.672568359376,11769.480401885987
754,20229672.936645508,13130878.007965088,20229.672936645507,13130.878007965088
755,19773497.041259766,12783195.971664429,19773.497041259765,12783.195971664429
756,19612463.473388672,12537823.710731506,19612.46347338867,12537.823710731507
757,19161024.724609375,12230111.041440248,19161.024724609375,12230.111041440248
758,19611460.52996826,12384709.098182678,19611.460529968263,12384.709098182679
759,19446523.397338867,12080359.297332764,19446.523397338868,12080.359297332763
760,19255447.747192383,11742735.865142822,19255.447747192382,11742.735865142822
761,19531706.154663086,12397005.773059845,19531.706154663087,12397.005773059846
762,20110168.038146973,12716808.725013733,20110.168038146974,12716.808725013732
763,19952754.119628906,12683787.83297348,19952.754119628906,12683.78783297348
764,19225999.049194336,12014091.712875366,19225.999049194335,12014.091712875366
765,19647930.901794434,12416222.310905457,19647.930901794432,12416.222310905456
766,19606410.615234375,12443254.068817139,19606.410615234374,12443.25406881714
767,19312083.278320312,12194126.417007446,19312.08327832031,12194.126417007446
768,19801575.259765625,12513058.504898071,19801.575259765625,12513.058504898072
769,19929359.072021484,12742486.038574219,19929.359072021485,12742.48603857422
770,18958620.580078125,11687065.487373352,18958.620580078124,11687.065487373353
771,20163016.49621582,13177791.574203491,20163.01649621582,13177.791574203491
772,19553907.432373047,12360157.068847656,19553.907432373046,12360.157068847657
773,18433275.575805664,11415204.186058044,18433.275575805663,11415.204186058045
774,20703772.330444336,13347633.480613708,20703.772330444335,13347.63348061371
775,19881854.986083984,12924469.056331635,19881.854986083985,12924.469056331634
776,18149334.40979004,11085809.913482666,18149.33440979004,11085.809913482666
777,20197422.009033203,13069044.44506836,20197.422009033202,13069.044445068359
778,20659539.7243042,13438535.329994202,20659.5397243042,13438.535329994202
779,18816667.76385498,11739155.656684875,18816.66776385498,11739.155656684876
780,18844524.54248047,11741734.491817474,18844.524542480467,11741.734491817475
781,20129524.072021484,12695851.87866211,20129.524072021486,12695.85187866211
782,20031311.596923828,12777818.686378479,20031.311596923828,12777.81868637848
783,19109408.24597168,11713059.831368685,19109.40824597168,11713.059831368684
784,18875757.841674805,11659089.13369751,18875.757841674804,11659.08913369751
785,18884427.00378418,11565408.478477478,18884.427003784178,11565.408478477479
786,19485149.475219727,12476576.715148926,19485.149475219725,12476.576715148925
787,19649085.115844727,12330446.744637728,19649.085115844726,12330.446744637728
788,19905812.569213867,12616488.041286469,19905.812569213867,12616.488041286468
789,19752646.83581543,12275484.01725769,19752.64683581543,12275.48401725769
790,19671642.18774414,12459892.871154785,19671.64218774414,12459.892871154785
791,18911164.474853516,11926659.507123232,18911.164474853515,11926.659507123231
792,19462112.743652344,12272341.932807922,19462.112743652342,12272.341932807922
793,19375343.877319336,12429330.459171295,19375.343877319337,12429.330459171295
794,20716305.2109375,13539461.133262634,20716.3052109375,13539.461133262634
795,20088960.658813477,13023885.60585022,20088.960658813477,13023.88560585022
796,18744953.221923828,11569690.225738525,18744.953221923828,11569.690225738525
797,19765934.118164062,12276152.864578247,19765.934118164063,12276.152864578247
798,20224040.806518555,12824970.486450195,20224.040806518555,12824.970486450195
799,20047929.099365234,12866283.519317627,20047.929099365236,12866.283519317627
800,18950600.989501953,11753801.81175232,18950.600989501952,11753.801811752319
801,19287841.736206055,12286852.66607666,19287.841736206054,12286.85266607666
802,19372473.370117188,12409732.176452637,19372.473370117186,12409.732176452637
803,19423082.43701172,12306007.20356369,19423.08243701172,12306.00720356369
804,19805840.115112305,12359901.011367798,19805.840115112303,12359.901011367798
805,19671503.355895996,12585069.211257935,19671.503355895995,12585.069211257935
806,19473506.89489746,12520538.728866577,19473.506894897462,12520.538728866577
807,20385134.146118164,13065311.48312378,20385.134146118166,13065.31148312378
808,20015688.498901367,13059450.979362488,20015.688498901367,13059.450979362487
809,18912069.704589844,11585152.480499268,18912.069704589845,11585.152480499268
810,19545095.638183594,12359246.922653198,19545.095638183593,12359.246922653198
811,20151770.295654297,12967308.11707306,20151.770295654296,12967.308117073058
812,19345947.158691406,12241658.739209414,19345.947158691408,12241.658739209413
813,18729405.066589355,11477840.226127625,18729.405066589356,11477.840226127624
814,19893232.338745117,12463186.526191711,19893.232338745118,12463.186526191712
