simulation,annual_point_wh,annual_q10_wh,annual_point_kwh,annual_q10_kwh
113,19319522.845825195,12135285.656522036,19319.522845825195,12135.285656522035
114,20091293.569091797,12699193.03609848,20091.2935690918,12699.19303609848
115,19792232.31604004,12658185.721149445,19792.232316040037,12658.185721149444
116,20557160.64086914,13132632.11543274,20557.16064086914,13132.63211543274
117,19668876.5189209,12647049.85615158,19668.876518920897,12647.049856151581
118,19092349.147094727,12029758.765106201,19092.349147094727,12029.7587651062
119,18719655.030151367,11883498.38822937,18719.655030151367,11883.49838822937
120,20927798.67980957,13861263.828948975,20927.79867980957,13861.263828948975
121,18711034.10107422,11554318.717956543,18711.03410107422,11554.318717956543
122,18978776.813964844,11946425.821713686,18978.776813964843,11946.425821713687
123,20049419.350708008,12680525.85371399,20049.41935070801,12680.525853713989
124,18756124.69165039,11792364.290557861,18756.12469165039,11792.364290557862
125,19840887.1484375,12592488.984008789,19840.8871484375,12592.488984008789
126,20735488.46911621,13431756.531677246,20735.48846911621,13431.756531677245
127,19886918.075073242,12657855.118217468,19886.91807507324,12657.855118217469
128,18885714.482055664,11846025.697875977,18885.714482055664,11846.025697875977
129,19748644.69470215,12893997.452224731,19748.644694702147,12893.997452224732
130,19610860.330322266,12592525.210281372,19610.860330322266,12592.525210281372
131,19458446.063598633,12507527.187599182,19458.446063598632,12507.527187599182
132,18984724.819458008,11907381.944607973,18984.724819458006,11907.381944607972
133,19174412.62438965,11931321.013046265,19174.41262438965,11931.321013046265
134,19827273.608154297,12658746.967132568,19827.273608154297,12658.746967132569
135,19257256.751220703,12065200.02633667,19257.256751220702,12065.20002633667
136,19631375.850463867,12373494.628936768,19631.375850463868,12373.494628936767
137,19048989.82220459,11987934.230102539,19048.98982220459,11987.934230102539
138,19413379.54748535,12231220.58921814,19413.37954748535,12231.22058921814
139,19956216.05859375,12885490.604873657,19956.21605859375,12885.490604873658
140,18953431.500732422,11617256.301709414,18953.431500732422,11617.256301709414
141,19157089.03076172,12060744.121238708,19157.08903076172,12060.74412123871
142,18812387.514282227,11681889.505249023,18812.387514282225,11681.889505249024
143,19064946.030822754,12058360.753868103,19064.946030822754,12058.360753868103
144,19617116.677124023,12797741.925969362,19617.116677124024,12797.741925969362
145,19067360.294311523,12022617.192947388,19067.360294311522,12022.617192947388
146,20054802.603393555,12602548.30128479,20054.802603393553,12602.54830128479
147,20011161.292053223,12663063.235157013,20011.161292053224,12663.063235157013
148,18506642.019226074,11602787.942264557,18506.642019226074,11602.787942264556
149,19159346.908081055,12266160.983272552,19159.346908081054,12266.160983272552
150,18955053.64593506,12032237.969022036,18955.05364593506,12032.237969022035
151,19595424.25366211,12406119.245544434,19595.42425366211,12406.119245544434
152,19444968.998535156,12401698.87349701,19444.968998535158,12401.69887349701
153,19930542.470214844,12601192.130065918,19930.542470214845,12601.192130065918
154,19227365.76171875,12101673.1734581,19227.36576171875,12101.673173458099
155,20100581.73791504,12580307.26538086,20100.58173791504,12580.30726538086
