model,validation_mape,test_rows,test_mape,test_r2,test_rmse_wh,test_mae_wh,test_bias_wh,test_corr,test_nrmse_observed_capacity_pct,test_nrmse_reported_capacity_pct
Persistence: previous-day same time,123.6186635954992,19551,94.51017671009201,0.32985136233151735,990.2152974161369,595.1434263027683,-16.62158477399268,0.6654214408659476,19.725404330998742,12.859938927482299
Linear regression,65.65192516864747,19551,59.22900525577316,0.8124404444352371,523.8580949216451,349.7717647746707,3.870188475200684,0.9014159699561736,10.435420217562651,6.803351882099287
XGBoost default,41.711583300820905,19551,39.25818063691387,0.8500870588602221,468.3425584669774,275.88777071877604,9.308346810351713,0.9222056128185894,9.329533037190785,6.082370889181524
XGBoost tuned,38.75239522553416,19551,36.095643073202346,0.8598574927110434,452.82354814077024,261.5002993137756,6.360688377510631,0.9273131520603309,9.020389405194626,5.880825300529484
