timestamp,solar_wh,load_wh,P_c_wh,P_d_wh,charging,SOC_wh,P_grid_wh,dp_normal_wh,dp_excess_wh
2022-06-03 00:00:00,1.5,3000.0,0.0,2998.5,0,11843.7,0.0,0.0,0.0
2022-06-03 01:00:00,2.3,2500.0,0.0,2497.7,0,9214.6,0.0,0.0,0.0
2022-06-03 02:00:00,10.4,2500.0,0.0,2489.6,0,6593.9,-0.0,0.0,0.0
2022-06-03 03:00:00,347.5,2800.0,0.0,629.7,0,5931.1,1822.8,1822.8,0.0
2022-06-03 04:00:00,944.4,3500.0,0.0,0.0,0,5931.1,2555.6,2555.6,0.0
2022-06-03 05:00:00,1801.3,5000.0,0.0,0.0,0,5931.1,3198.7,3198.7,0.0
2022-06-03 06:00:00,4717.1,7000.0,0.0,0.0,0,5931.1,2282.9,2282.9,0.0
2022-06-03 07:00:00,9364.4,9000.0,364.4,0.0,1,6277.2,0.0,0.0,0.0
2022-06-03 08:00:00,13750.1,10000.0,3750.1,0.0,1,9839.8,0.0,0.0,0.0
2022-06-03 09:00:00,15246.2,11000.0,4246.2,0.0,1,13873.6,0.0,0.0,0.0
2022-06-03 10:00:00,15802.1,12000.0,3802.1,0.0,1,17485.6,0.0,0.0,0.0
2022-06-03 11:00:00,15338.4,12000.0,3338.4,0.0,1,20657.1,0.0,0.0,0.0
2022-06-03 12:00:00,13852.1,11000.0,2852.1,0.0,1,23366.6,0.0,0.0,0.0
2022-06-03 13:00:00,12030.5,10000.0,2030.5,0.0,1,25295.6,0.0,0.0,0.0
2022-06-03 14:00:00,9119.8,9000.0,119.8,0.0,1,25409.5,0.0,0.0,0.0
2022-06-03 15:00:00,5432.5,8000.0,0.0,0.0,0,25409.5,2567.5,2567.5,0.0
2022-06-03 16:00:00,2142.2,9000.0,0.0,0.0,0,25409.5,6857.8,6857.8,0.0
2022-06-03 17:00:00,784.1,11000.0,0.0,2215.9,0,23076.9,8000.0,8000.0,0.0
2022-06-03 18:00:00,311.7,12000.0,0.0,3688.3,0,19194.5,8000.0,8000.0,0.0
2022-06-03 19:00:00,10.2,11000.0,0.0,2989.8,0,16047.3,8000.0,8000.0,0.0
2022-06-03 20:00:00,5.0,9000.0,0.0,995.0,0,15000.0,8000.0,8000.0,0.0
2022-06-03 21:00:00,0.9,7000.0,0.0,0.0,0,15000.0,6999.1,6999.1,0.0
2022-06-03 22:00:00,1.4,5000.0,0.0,0.0,0,15000.0,4998.6,4998.6,0.0
2022-06-03 23:00:00,1.3,4000.0,0.0,0.0,0,15000.0,3998.7,3998.7,0.0
