model,rows,mape,r2,rmse_wh,mae_wh,bias_wh,corr,nrmse_observed_capacity_pct
Persistence: previous-day same time,7917,121.0740843960383,0.04303871053282793,1106.3319344791837,701.8533535430087,-27.357711254262977,0.5202696855373363,22.03848475058135
Linear regression,7917,83.55969262301383,0.7560063916216779,558.6341592362772,390.9110924336931,64.19013787103971,0.8714777981025945,11.128170502714687
XGBoost default,7917,48.17235709221219,0.7582986922171816,556.003804858888,339.60980820358816,-9.78792107333751,0.8732309186235637,11.075773005157131
XGBoost tuned fixed params,7917,46.06559701074776,0.787269878474844,521.6182256893416,316.7634758021444,-5.3283509666967594,0.8878845019413918,10.39080130855262
